,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,AREA,transInvest_Dvar
229,2040,CCS1,SMR,Nice,0.0
230,2040,CCS1,SMR,Alpin,0.0
231,2040,CCS1,SMR + CCS1,Marseille,0.0
232,2040,CCS1,SMR + CCS1,Nice,0.0
233,2040,CCS1,SMR + CCS1,Alpin,0.0
234,2040,CCS1,CCS1,Marseille,0.0
235,2040,CCS1,CCS1,Nice,0.0
236,2040,CCS1,CCS1,Alpin,0.0
237,2040,CCS1,ElectrolysisS,Marseille,0.0
238,2040,CCS1,ElectrolysisS,Nice,0.0
239,2040,CCS1,ElectrolysisS,Alpin,0.0
240,2040,CCS1,Existing SMR,Marseille,0.0
241,2040,CCS1,Existing SMR,Nice,0.0
242,2040,CCS1,Existing SMR,Alpin,0.0
243,2040,CCS1,ElectrolysisL,Marseille,0.0
244,2040,CCS1,ElectrolysisL,Nice,0.0
245,2040,CCS1,ElectrolysisL,Alpin,0.0
246,2040,CCS1,SMR + CCS2,Marseille,0.0
247,2040,CCS1,SMR + CCS2,Nice,0.0
248,2040,CCS1,SMR + CCS2,Alpin,0.0
249,2040,CCS1,Onshore wind,Marseille,0.0
250,2040,CCS1,Onshore wind,Nice,0.0
251,2040,CCS1,Onshore wind,Alpin,0.0
252,2040,ElectrolysisS,Offshore wind - floating,Marseille,0.0
253,2040,ElectrolysisS,Offshore wind - floating,Nice,0.0
254,2040,ElectrolysisS,Offshore wind - floating,Alpin,0.0
255,2040,ElectrolysisS,ElectrolysisM,Marseille,0.0
256,2040,ElectrolysisS,ElectrolysisM,Nice,0.0
257,2040,ElectrolysisS,ElectrolysisM,Alpin,0.0
258,2040,ElectrolysisS,CCS2,Marseille,0.0
259,2040,ElectrolysisS,CCS2,Nice,0.0
260,2040,ElectrolysisS,CCS2,Alpin,0.0
261,2040,ElectrolysisS,Ground PV,Marseille,0.0
262,2040,ElectrolysisS,Ground PV,Nice,0.0
263,2040,ElectrolysisS,Ground PV,Alpin,0.0
264,2040,ElectrolysisS,SMR,Marseille,0.0
265,2040,ElectrolysisS,SMR,Nice,0.0
266,2040,ElectrolysisS,SMR,Alpin,0.0
267,2040,ElectrolysisS,SMR + CCS1,Marseille,0.0
268,2040,ElectrolysisS,SMR + CCS1,Nice,0.0
269,2040,ElectrolysisS,SMR + CCS1,Alpin,0.0
270,2040,ElectrolysisS,CCS1,Marseille,0.0
271,2040,ElectrolysisS,CCS1,Nice,0.0
272,2040,ElectrolysisS,CCS1,Alpin,0.0
273,2040,ElectrolysisS,ElectrolysisS,Marseille,0.0
274,2040,ElectrolysisS,ElectrolysisS,Nice,0.0
275,2040,ElectrolysisS,ElectrolysisS,Alpin,0.0
276,2040,ElectrolysisS,Existing SMR,Marseille,0.0
277,2040,ElectrolysisS,Existing SMR,Nice,0.0
278,2040,ElectrolysisS,Existing SMR,Alpin,0.0
279,2040,ElectrolysisS,ElectrolysisL,Marseille,0.0
280,2040,ElectrolysisS,ElectrolysisL,Nice,0.0
281,2040,ElectrolysisS,ElectrolysisL,Alpin,0.0
282,2040,ElectrolysisS,SMR + CCS2,Marseille,0.0
283,2040,ElectrolysisS,SMR + CCS2,Nice,0.0
284,2040,ElectrolysisS,SMR + CCS2,Alpin,0.0
285,2040,ElectrolysisS,Onshore wind,Marseille,0.0
286,2040,ElectrolysisS,Onshore wind,Nice,0.0
287,2040,ElectrolysisS,Onshore wind,Alpin,0.0
288,2040,Existing SMR,Offshore wind - floating,Marseille,0.0
289,2040,Existing SMR,Offshore wind - floating,Nice,0.0
290,2040,Existing SMR,Offshore wind - floating,Alpin,0.0
291,2040,Existing SMR,ElectrolysisM,Marseille,0.0
292,2040,Existing SMR,ElectrolysisM,Nice,0.0
293,2040,Existing SMR,ElectrolysisM,Alpin,0.0
294,2040,Existing SMR,CCS2,Marseille,0.0
295,2040,Existing SMR,CCS2,Nice,0.0
296,2040,Existing SMR,CCS2,Alpin,0.0
297,2040,Existing SMR,Ground PV,Marseille,0.0
298,2040,Existing SMR,Ground PV,Nice,0.0
299,2040,Existing SMR,Ground PV,Alpin,0.0
300,2040,Existing SMR,SMR,Marseille,0.0
301,2040,Existing SMR,SMR,Nice,0.0
302,2040,Existing SMR,SMR,Alpin,0.0
303,2040,Existing SMR,SMR + CCS1,Marseille,0.0
304,2040,Existing SMR,SMR + CCS1,Nice,0.0
305,2040,Existing SMR,SMR + CCS1,Alpin,0.0
306,2040,Existing SMR,CCS1,Marseille,0.0
307,2040,Existing SMR,CCS1,Nice,0.0
308,2040,Existing SMR,CCS1,Alpin,0.0
309,2040,Existing SMR,ElectrolysisS,Marseille,0.0
310,2040,Existing SMR,ElectrolysisS,Nice,0.0
311,2040,Existing SMR,ElectrolysisS,Alpin,0.0
312,2040,Existing SMR,Existing SMR,Marseille,0.0
313,2040,Existing SMR,Existing SMR,Nice,0.0
314,2040,Existing SMR,Existing SMR,Alpin,0.0
315,2040,Existing SMR,ElectrolysisL,Marseille,0.0
316,2040,Existing SMR,ElectrolysisL,Nice,0.0
317,2040,Existing SMR,ElectrolysisL,Alpin,0.0
318,2040,Existing SMR,SMR + CCS2,Marseille,0.0
319,2040,Existing SMR,SMR + CCS2,Nice,0.0
320,2040,Existing SMR,SMR + CCS2,Alpin,0.0
321,2040,Existing SMR,Onshore wind,Marseille,0.0
322,2040,Existing SMR,Onshore wind,Nice,0.0
323,2040,Existing SMR,Onshore wind,Alpin,0.0
324,2040,ElectrolysisL,Offshore wind - floating,Marseille,0.0
325,2040,ElectrolysisL,Offshore wind - floating,Nice,0.0
326,2040,ElectrolysisL,Offshore wind - floating,Alpin,0.0
327,2040,ElectrolysisL,ElectrolysisM,Marseille,0.0
328,2040,ElectrolysisL,ElectrolysisM,Nice,0.0
329,2040,ElectrolysisL,ElectrolysisM,Alpin,0.0
330,2040,ElectrolysisL,CCS2,Marseille,0.0
331,2040,ElectrolysisL,CCS2,Nice,0.0
332,2040,ElectrolysisL,CCS2,Alpin,0.0
333,2040,ElectrolysisL,Ground PV,Marseille,0.0
334,2040,ElectrolysisL,Ground PV,Nice,0.0
335,2040,ElectrolysisL,Ground PV,Alpin,0.0
336,2040,ElectrolysisL,SMR,Marseille,0.0
337,2040,ElectrolysisL,SMR,Nice,0.0
338,2040,ElectrolysisL,SMR,Alpin,0.0
339,2040,ElectrolysisL,SMR + CCS1,Marseille,0.0
340,2040,ElectrolysisL,SMR + CCS1,Nice,0.0
341,2040,ElectrolysisL,SMR + CCS1,Alpin,0.0
342,2040,ElectrolysisL,CCS1,Marseille,0.0
343,2040,ElectrolysisL,CCS1,Nice,0.0
344,2040,ElectrolysisL,CCS1,Alpin,0.0
345,2040,ElectrolysisL,ElectrolysisS,Marseille,0.0
346,2040,ElectrolysisL,ElectrolysisS,Nice,0.0
347,2040,ElectrolysisL,ElectrolysisS,Alpin,0.0
348,2040,ElectrolysisL,Existing SMR,Marseille,0.0
349,2040,ElectrolysisL,Existing SMR,Nice,0.0
350,2040,ElectrolysisL,Existing SMR,Alpin,0.0
351,2040,ElectrolysisL,ElectrolysisL,Marseille,0.0
352,2040,ElectrolysisL,ElectrolysisL,Nice,0.0
353,2040,ElectrolysisL,ElectrolysisL,Alpin,0.0
354,2040,ElectrolysisL,SMR + CCS2,Marseille,0.0
355,2040,ElectrolysisL,SMR + CCS2,Nice,0.0
356,2040,ElectrolysisL,SMR + CCS2,Alpin,0.0
357,2040,ElectrolysisL,Onshore wind,Marseille,0.0
358,2040,ElectrolysisL,Onshore wind,Nice,0.0
359,2040,ElectrolysisL,Onshore wind,Alpin,0.0
360,2040,SMR + CCS2,Offshore wind - floating,Marseille,0.0
361,2040,SMR + CCS2,Offshore wind - floating,Nice,0.0
362,2040,SMR + CCS2,Offshore wind - floating,Alpin,0.0
363,2040,SMR + CCS2,ElectrolysisM,Marseille,0.0
364,2040,SMR + CCS2,ElectrolysisM,Nice,0.0
365,2040,SMR + CCS2,ElectrolysisM,Alpin,0.0
