,YEAR_op,TIMESTAMP,TECHNOLOGIES,AREA,power_Dvar
254,2040,2601,Existing SMR,Nice,0.0
255,2040,2601,Onshore wind,Alpin,155.5245927
256,2040,2601,Onshore wind,Marseille,1196.1953240999999
257,2040,2601,Onshore wind,Nice,205.4460669
258,2040,2601,Ground PV,Alpin,50.638658054
259,2040,2601,Ground PV,Marseille,388.324540695
260,2040,2601,Ground PV,Nice,0.0
261,2040,2601,ElectrolysisS,Alpin,0.0
262,2040,2601,ElectrolysisS,Marseille,0.0
263,2040,2601,ElectrolysisS,Nice,0.0
264,2040,2601,Offshore wind - floating,Alpin,0.0
265,2040,2601,Offshore wind - floating,Marseille,0.0
266,2040,2601,Offshore wind - floating,Nice,0.0
267,2040,2601,CCS2,Alpin,0.0
268,2040,2601,CCS2,Marseille,0.0
269,2040,2601,CCS2,Nice,0.0
270,2040,2601,CCS1,Alpin,0.0
271,2040,2601,CCS1,Marseille,0.0
272,2040,2601,CCS1,Nice,0.0
273,2040,2601,SMR,Alpin,0.0
274,2040,2601,SMR,Marseille,0.0
275,2040,2601,SMR,Nice,0.0
276,2040,2601,SMR + CCS2,Alpin,0.0
277,2040,2601,SMR + CCS2,Marseille,0.0
278,2040,2601,SMR + CCS2,Nice,0.0
279,2040,2601,ElectrolysisL,Alpin,200.0
280,2040,2601,ElectrolysisL,Marseille,1584.5198647949999
281,2040,2601,ElectrolysisL,Nice,289.36550173420306
282,2040,2601,ElectrolysisM,Alpin,8.503688092729186
283,2040,2601,ElectrolysisM,Marseille,0.0
284,2040,2601,ElectrolysisM,Nice,0.0
285,2040,2601,SMR + CCS1,Alpin,0.0
286,2040,2601,SMR + CCS1,Marseille,0.0
287,2040,2601,SMR + CCS1,Nice,0.0
288,2040,6701,Existing SMR,Alpin,0.0
289,2040,6701,Existing SMR,Marseille,0.0
290,2040,6701,Existing SMR,Nice,0.0
291,2040,6701,Onshore wind,Alpin,3.85866747
292,2040,6701,Onshore wind,Marseille,29.67839301
293,2040,6701,Onshore wind,Nice,5.09725209
294,2040,6701,Ground PV,Alpin,0.0
295,2040,6701,Ground PV,Marseille,0.0
296,2040,6701,Ground PV,Nice,0.0
297,2040,6701,ElectrolysisS,Alpin,0.0
298,2040,6701,ElectrolysisS,Marseille,0.0
299,2040,6701,ElectrolysisS,Nice,0.0
300,2040,6701,Offshore wind - floating,Alpin,0.0
301,2040,6701,Offshore wind - floating,Marseille,0.0
302,2040,6701,Offshore wind - floating,Nice,0.0
303,2040,6701,CCS2,Alpin,0.0
304,2040,6701,CCS2,Marseille,0.0
305,2040,6701,CCS2,Nice,0.0
306,2040,6701,CCS1,Alpin,0.0
307,2040,6701,CCS1,Marseille,0.0
308,2040,6701,CCS1,Nice,0.0
309,2040,6701,SMR,Alpin,0.0
310,2040,6701,SMR,Marseille,0.0
311,2040,6701,SMR,Nice,0.0
312,2040,6701,SMR + CCS2,Alpin,0.0
313,2040,6701,SMR + CCS2,Marseille,0.0
314,2040,6701,SMR + CCS2,Nice,0.0
315,2040,6701,ElectrolysisL,Alpin,200.0
316,2040,6701,ElectrolysisL,Marseille,1573.735165544491
317,2040,6701,ElectrolysisL,Nice,300.0
318,2040,6701,ElectrolysisM,Alpin,8.503688092729186
319,2040,6701,ElectrolysisM,Marseille,0.0
320,2040,6701,ElectrolysisM,Nice,0.0
321,2040,6701,SMR + CCS1,Alpin,0.0
322,2040,6701,SMR + CCS1,Marseille,0.0
323,2040,6701,SMR + CCS1,Nice,0.0
324,2040,2101,Existing SMR,Alpin,0.0
325,2040,2101,Existing SMR,Marseille,0.0
326,2040,2101,Existing SMR,Nice,0.0
327,2040,2101,Onshore wind,Alpin,1.268602884
328,2040,2101,Onshore wind,Marseille,9.757278972000002
329,2040,2101,Onshore wind,Nice,1.6758087480000001
330,2040,2101,Ground PV,Alpin,75.651204704
331,2040,2101,Ground PV,Marseille,580.13423832
332,2040,2101,Ground PV,Nice,0.0
333,2040,2101,ElectrolysisS,Alpin,0.0
334,2040,2101,ElectrolysisS,Marseille,0.0
335,2040,2101,ElectrolysisS,Nice,0.0
336,2040,2101,Offshore wind - floating,Alpin,0.0
337,2040,2101,Offshore wind - floating,Marseille,0.0
338,2040,2101,Offshore wind - floating,Nice,0.0
339,2040,2101,CCS2,Alpin,0.0
340,2040,2101,CCS2,Marseille,0.0
341,2040,2101,CCS2,Nice,0.0
342,2040,2101,CCS1,Alpin,0.0
343,2040,2101,CCS1,Marseille,0.0
344,2040,2101,CCS1,Nice,0.0
345,2040,2101,SMR,Alpin,0.0
346,2040,2101,SMR,Marseille,0.0
347,2040,2101,SMR,Nice,0.0
348,2040,2101,SMR + CCS2,Alpin,0.0
349,2040,2101,SMR + CCS2,Marseille,0.0
350,2040,2101,SMR + CCS2,Nice,0.0
351,2040,2101,ElectrolysisL,Alpin,200.0
352,2040,2101,ElectrolysisL,Marseille,1574.797338985078
353,2040,2101,ElectrolysisL,Nice,298.952619693
354,2040,2101,ElectrolysisM,Alpin,8.503688092729186
355,2040,2101,ElectrolysisM,Marseille,0.0
356,2040,2101,ElectrolysisM,Nice,0.0
357,2040,2101,SMR + CCS1,Alpin,0.0
358,2040,2101,SMR + CCS1,Marseille,0.0
359,2040,2101,SMR + CCS1,Nice,0.0
360,2040,6201,Existing SMR,Alpin,0.0
361,2040,6201,Existing SMR,Marseille,0.0
362,2040,6201,Existing SMR,Nice,0.0
363,2040,6201,Onshore wind,Alpin,126.7999758
364,2040,6201,Onshore wind,Marseille,975.2640114000001
365,2040,6201,Onshore wind,Nice,167.5012026
366,2040,6201,Ground PV,Alpin,51.920986964
367,2040,6201,Ground PV,Marseille,398.15813037000004
368,2040,6201,Ground PV,Nice,0.0
369,2040,6201,ElectrolysisS,Alpin,0.0
370,2040,6201,ElectrolysisS,Marseille,0.0
371,2040,6201,ElectrolysisS,Nice,0.0
372,2040,6201,Offshore wind - floating,Alpin,0.0
373,2040,6201,Offshore wind - floating,Marseille,0.0
374,2040,6201,Offshore wind - floating,Nice,0.0
375,2040,6201,CCS2,Alpin,0.0
376,2040,6201,CCS2,Marseille,0.0
377,2040,6201,CCS2,Nice,0.0
378,2040,6201,CCS1,Alpin,0.0
379,2040,6201,CCS1,Marseille,0.0
380,2040,6201,CCS1,Nice,0.0
381,2040,6201,SMR,Alpin,0.0
382,2040,6201,SMR,Marseille,0.0
383,2040,6201,SMR,Nice,0.0
384,2040,6201,SMR + CCS2,Alpin,0.0
385,2040,6201,SMR + CCS2,Marseille,0.0
386,2040,6201,SMR + CCS2,Nice,0.0
387,2040,6201,ElectrolysisL,Alpin,200.0
388,2040,6201,ElectrolysisL,Marseille,1573.735165544491
389,2040,6201,ElectrolysisL,Nice,300.0
390,2040,6201,ElectrolysisM,Alpin,8.503688092729186
391,2040,6201,ElectrolysisM,Marseille,0.0
392,2040,6201,ElectrolysisM,Nice,0.0
393,2040,6201,SMR + CCS1,Alpin,0.0
394,2040,6201,SMR + CCS1,Marseille,0.0
395,2040,6201,SMR + CCS1,Nice,0.0
396,2040,1601,Existing SMR,Alpin,0.0
397,2040,1601,Existing SMR,Marseille,0.0
398,2040,1601,Existing SMR,Nice,0.0
399,2040,1601,Onshore wind,Alpin,126.7999758
400,2040,1601,Onshore wind,Marseille,975.2640114000001
401,2040,1601,Onshore wind,Nice,167.5012026
402,2040,1601,Ground PV,Alpin,70.977407262
403,2040,1601,Ground PV,Marseille,544.2930388350001
404,2040,1601,Ground PV,Nice,0.0
405,2040,1601,ElectrolysisS,Alpin,0.0
406,2040,1601,ElectrolysisS,Marseille,0.0
407,2040,1601,ElectrolysisS,Nice,0.0
408,2040,1601,Offshore wind - floating,Alpin,0.0
409,2040,1601,Offshore wind - floating,Marseille,0.0
410,2040,1601,Offshore wind - floating,Nice,0.0
411,2040,1601,CCS2,Alpin,0.0
412,2040,1601,CCS2,Marseille,0.0
413,2040,1601,CCS2,Nice,0.0
414,2040,1601,CCS1,Alpin,0.0
415,2040,1601,CCS1,Marseille,0.0
416,2040,1601,CCS1,Nice,0.0
417,2040,1601,SMR,Alpin,0.0
418,2040,1601,SMR,Marseille,0.0
419,2040,1601,SMR,Nice,0.0
420,2040,1601,SMR + CCS2,Alpin,0.0
421,2040,1601,SMR + CCS2,Marseille,0.0
422,2040,1601,SMR + CCS2,Nice,0.0
423,2040,1601,ElectrolysisL,Alpin,200.0
424,2040,1601,ElectrolysisL,Marseille,1573.735165544491
425,2040,1601,ElectrolysisL,Nice,300.0
426,2040,1601,ElectrolysisM,Alpin,8.503688092729186
427,2040,1601,ElectrolysisM,Marseille,0.0
428,2040,1601,ElectrolysisM,Nice,0.0
429,2040,1601,SMR + CCS1,Alpin,0.0
430,2040,1601,SMR + CCS1,Marseille,0.0
431,2040,1601,SMR + CCS1,Nice,0.0
432,2040,5701,Existing SMR,Alpin,0.0
433,2040,5701,Existing SMR,Marseille,0.0
434,2040,5701,Existing SMR,Nice,0.0
435,2040,5701,Onshore wind,Alpin,85.7892303
436,2040,5701,Onshore wind,Marseille,659.8356848999999
437,2040,5701,Onshore wind,Nice,113.3265141
438,2040,5701,Ground PV,Alpin,122.54228920599999
439,2040,5701,Ground PV,Marseille,939.720363855
440,2040,5701,Ground PV,Nice,0.0
441,2040,5701,ElectrolysisS,Alpin,0.0
442,2040,5701,ElectrolysisS,Marseille,0.0
443,2040,5701,ElectrolysisS,Nice,0.0
444,2040,5701,Offshore wind - floating,Alpin,0.0
445,2040,5701,Offshore wind - floating,Marseille,0.0
446,2040,5701,Offshore wind - floating,Nice,0.0
447,2040,5701,CCS2,Alpin,0.0
448,2040,5701,CCS2,Marseille,0.0
449,2040,5701,CCS2,Nice,0.0
450,2040,5701,CCS1,Alpin,0.0
451,2040,5701,CCS1,Marseille,0.0
452,2040,5701,CCS1,Nice,0.0
453,2040,5701,SMR,Alpin,0.0
454,2040,5701,SMR,Marseille,0.0
455,2040,5701,SMR,Nice,0.0
456,2040,5701,SMR + CCS2,Alpin,0.0
457,2040,5701,SMR + CCS2,Marseille,0.0
458,2040,5701,SMR + CCS2,Nice,0.0
459,2040,5701,ElectrolysisL,Alpin,200.0
460,2040,5701,ElectrolysisL,Marseille,1599.556048755
461,2040,5701,ElectrolysisL,Nice,274.53873016342624
462,2040,5701,ElectrolysisM,Alpin,8.503688092729186
