,YEAR_op,TIMESTAMP,STOCK_TECHNO,AREA,stockLevel_Pvar
464,2040,2501,Battery,Alpin,0.0
465,2040,2501,Salt cavern,Nice,0.0
466,2040,2501,Salt cavern,Marseille,0.0
467,2040,2501,Salt cavern,Alpin,0.0
468,2040,6601,Battery,Nice,0.0
469,2040,6601,Battery,Marseille,0.0
470,2040,6601,Battery,Alpin,0.0
471,2040,6601,Salt cavern,Nice,0.0
472,2040,6601,Salt cavern,Marseille,0.0
473,2040,6601,Salt cavern,Alpin,0.0
474,2040,2001,Battery,Nice,0.0
475,2040,2001,Battery,Marseille,0.0
476,2040,2001,Battery,Alpin,0.0
477,2040,2001,Salt cavern,Nice,0.0
478,2040,2001,Salt cavern,Marseille,0.0
479,2040,2001,Salt cavern,Alpin,0.0
480,2040,6101,Battery,Nice,0.0
481,2040,6101,Battery,Marseille,0.0
482,2040,6101,Battery,Alpin,0.0
483,2040,6101,Salt cavern,Nice,0.0
484,2040,6101,Salt cavern,Marseille,0.0
485,2040,6101,Salt cavern,Alpin,0.0
486,2040,1501,Battery,Nice,0.0
487,2040,1501,Battery,Marseille,0.0
488,2040,1501,Battery,Alpin,0.0
489,2040,1501,Salt cavern,Nice,0.0
490,2040,1501,Salt cavern,Marseille,0.0
491,2040,1501,Salt cavern,Alpin,0.0
492,2040,5601,Battery,Nice,0.0
493,2040,5601,Battery,Marseille,0.0
494,2040,5601,Battery,Alpin,0.0
495,2040,5601,Salt cavern,Nice,0.0
496,2040,5601,Salt cavern,Marseille,0.0
497,2040,5601,Salt cavern,Alpin,0.0
498,2040,1001,Battery,Nice,0.0
499,2040,1001,Battery,Marseille,0.0
500,2040,1001,Battery,Alpin,0.0
501,2040,1001,Salt cavern,Nice,0.0
502,2040,1001,Salt cavern,Marseille,0.0
503,2040,1001,Salt cavern,Alpin,0.0
504,2040,5101,Battery,Nice,0.0
505,2040,5101,Battery,Marseille,0.0
506,2040,5101,Battery,Alpin,0.0
507,2040,5101,Salt cavern,Nice,0.0
508,2040,5101,Salt cavern,Marseille,0.0
509,2040,5101,Salt cavern,Alpin,0.0
510,2040,501,Battery,Nice,0.0
511,2040,501,Battery,Marseille,0.0
512,2040,501,Battery,Alpin,0.0
513,2040,501,Salt cavern,Nice,0.0
514,2040,501,Salt cavern,Marseille,0.0
515,2040,501,Salt cavern,Alpin,0.0
516,2040,4601,Battery,Nice,0.0
517,2040,4601,Battery,Marseille,0.0
518,2040,4601,Battery,Alpin,0.0
519,2040,4601,Salt cavern,Nice,0.0
520,2040,4601,Salt cavern,Marseille,0.0
521,2040,4601,Salt cavern,Alpin,0.0
522,2040,8701,Battery,Nice,0.0
523,2040,8701,Battery,Marseille,0.0
524,2040,8701,Battery,Alpin,0.0
525,2040,8701,Salt cavern,Nice,0.0
526,2040,8701,Salt cavern,Marseille,0.0
527,2040,8701,Salt cavern,Alpin,0.0
528,2050,1,Battery,Nice,0.0
529,2050,1,Battery,Marseille,0.0
530,2050,1,Battery,Alpin,0.0
531,2050,1,Salt cavern,Nice,0.0
532,2050,1,Salt cavern,Marseille,0.0
533,2050,1,Salt cavern,Alpin,0.0
534,2050,4101,Battery,Nice,0.0
535,2050,4101,Battery,Marseille,0.0
536,2050,4101,Battery,Alpin,0.0
537,2050,4101,Salt cavern,Nice,0.0
538,2050,4101,Salt cavern,Marseille,0.0
539,2050,4101,Salt cavern,Alpin,0.0
540,2050,8201,Battery,Nice,0.0
541,2050,8201,Battery,Marseille,0.0
542,2050,8201,Battery,Alpin,0.0
543,2050,8201,Salt cavern,Nice,0.0
544,2050,8201,Salt cavern,Marseille,0.0
545,2050,8201,Salt cavern,Alpin,0.0
546,2050,3601,Battery,Nice,0.0
547,2050,3601,Battery,Marseille,0.0
548,2050,3601,Battery,Alpin,0.0
549,2050,3601,Salt cavern,Nice,0.0
550,2050,3601,Salt cavern,Marseille,0.0
551,2050,3601,Salt cavern,Alpin,0.0
552,2050,7701,Battery,Nice,0.0
553,2050,7701,Battery,Marseille,0.0
554,2050,7701,Battery,Alpin,0.0
555,2050,7701,Salt cavern,Nice,0.0
556,2050,7701,Salt cavern,Marseille,0.0
557,2050,7701,Salt cavern,Alpin,0.0
558,2050,3101,Battery,Nice,0.0
559,2050,3101,Battery,Marseille,0.0
560,2050,3101,Battery,Alpin,0.0
561,2050,3101,Salt cavern,Nice,0.0
562,2050,3101,Salt cavern,Marseille,0.0
563,2050,3101,Salt cavern,Alpin,0.0
564,2050,7201,Battery,Nice,0.0
565,2050,7201,Battery,Marseille,0.0
566,2050,7201,Battery,Alpin,0.0
567,2050,7201,Salt cavern,Nice,0.0
568,2050,7201,Salt cavern,Marseille,0.0
569,2050,7201,Salt cavern,Alpin,0.0
570,2050,2601,Battery,Nice,0.0
571,2050,2601,Battery,Marseille,0.0
572,2050,2601,Battery,Alpin,0.0
573,2050,2601,Salt cavern,Nice,0.0
574,2050,2601,Salt cavern,Marseille,0.0
575,2050,2601,Salt cavern,Alpin,0.0
576,2050,6701,Battery,Nice,0.0
577,2050,6701,Battery,Marseille,0.0
578,2050,6701,Battery,Alpin,0.0
579,2050,6701,Salt cavern,Nice,0.0
580,2050,6701,Salt cavern,Marseille,0.0
581,2050,6701,Salt cavern,Alpin,0.0
582,2050,2101,Battery,Nice,0.0
583,2050,2101,Battery,Marseille,0.0
584,2050,2101,Battery,Alpin,0.0
585,2050,2101,Salt cavern,Nice,0.0
586,2050,2101,Salt cavern,Marseille,0.0
587,2050,2101,Salt cavern,Alpin,0.0
588,2050,6201,Battery,Nice,0.0
589,2050,6201,Battery,Marseille,0.0
590,2050,6201,Battery,Alpin,0.0
591,2050,6201,Salt cavern,Nice,0.0
592,2050,6201,Salt cavern,Marseille,0.0
593,2050,6201,Salt cavern,Alpin,0.0
594,2050,1601,Battery,Nice,0.0
595,2050,1601,Battery,Marseille,0.0
596,2050,1601,Battery,Alpin,0.0
597,2050,1601,Salt cavern,Nice,0.0
598,2050,1601,Salt cavern,Marseille,0.0
599,2050,1601,Salt cavern,Alpin,0.0
600,2050,5701,Battery,Nice,0.0
601,2050,5701,Battery,Marseille,0.0
602,2050,5701,Battery,Alpin,0.0
603,2050,5701,Salt cavern,Nice,0.0
604,2050,5701,Salt cavern,Marseille,0.0
605,2050,5701,Salt cavern,Alpin,0.0
606,2050,1101,Battery,Nice,0.0
607,2050,1101,Battery,Marseille,0.0
608,2050,1101,Battery,Alpin,0.0
609,2050,1101,Salt cavern,Nice,0.0
610,2050,1101,Salt cavern,Marseille,0.0
611,2050,1101,Salt cavern,Alpin,0.0
612,2050,5201,Battery,Nice,0.0
613,2050,5201,Battery,Marseille,0.0
614,2050,5201,Battery,Alpin,0.0
615,2050,5201,Salt cavern,Nice,0.0
616,2050,5201,Salt cavern,Marseille,0.0
617,2050,5201,Salt cavern,Alpin,0.0
618,2050,601,Battery,Nice,0.0
619,2050,601,Battery,Marseille,0.0
620,2050,601,Battery,Alpin,0.0
621,2050,601,Salt cavern,Nice,0.0
622,2050,601,Salt cavern,Marseille,0.0
623,2050,601,Salt cavern,Alpin,0.0
624,2050,4701,Battery,Nice,0.0
625,2050,4701,Battery,Marseille,0.0
626,2050,4701,Battery,Alpin,0.0
