TIMESTAMP,Calendrier,HTA,sup36,inf36
674,HCH,13.4,29.4,14.7
675,HCH,13.4,29.4,14.7
676,HCH,13.4,29.4,14.7
677,HCH,13.4,29.4,14.7
678,HCH,13.4,29.4,14.7
679,P,28.5,43.7,14.7
680,P,28.5,43.7,14.7
681,HPH,21.4,43.7,14.7
682,HPH,21.4,43.7,14.7
683,HPH,21.4,43.7,14.7
684,HPH,21.4,43.7,14.7
685,HPH,21.4,43.7,14.7
686,HPH,21.4,43.7,14.7
687,HPH,21.4,43.7,14.7
688,HPH,21.4,43.7,14.7
689,HPH,21.4,43.7,14.7
690,HPH,21.4,43.7,14.7
691,P,28.5,43.7,14.7
692,P,28.5,43.7,14.7
693,HPH,21.4,43.7,14.7
694,HPH,21.4,43.7,14.7
695,HCH,13.4,29.4,14.7
696,HCH,13.4,29.4,14.7
697,HCH,13.4,29.4,14.7
698,HCH,13.4,29.4,14.7
699,HCH,13.4,29.4,14.7
700,HCH,13.4,29.4,14.7
701,HCH,13.4,29.4,14.7
702,HCH,13.4,29.4,14.7
703,P,28.5,43.7,14.7
704,P,28.5,43.7,14.7
705,HPH,21.4,43.7,14.7
706,HPH,21.4,43.7,14.7
707,HPH,21.4,43.7,14.7
708,HPH,21.4,43.7,14.7
709,HPH,21.4,43.7,14.7
710,HPH,21.4,43.7,14.7
711,HPH,21.4,43.7,14.7
712,HPH,21.4,43.7,14.7
713,HPH,21.4,43.7,14.7
714,HPH,21.4,43.7,14.7
715,P,28.5,43.7,14.7
716,P,28.5,43.7,14.7
717,HPH,21.4,43.7,14.7
718,HPH,21.4,43.7,14.7
719,HCH,13.4,29.4,14.7
720,HCH,13.4,29.4,14.7
721,HCH,13.4,29.4,14.7
722,HCH,13.4,29.4,14.7
723,HCH,13.4,29.4,14.7
724,HCH,13.4,29.4,14.7
725,HCH,13.4,29.4,14.7
726,HCH,13.4,29.4,14.7
727,P,28.5,43.7,14.7
728,P,28.5,43.7,14.7
729,HPH,21.4,43.7,14.7
730,HPH,21.4,43.7,14.7
731,HPH,21.4,43.7,14.7
732,HPH,21.4,43.7,14.7
733,HPH,21.4,43.7,14.7
734,HPH,21.4,43.7,14.7
